description,original label,mip,# of sub-expts.,min ens. size,start year,end year,min. # yrs/sim,tier,experiment_id,seg-1,seg-2,seg-3,sub_ experiment_ id,required model components,additional allowed model components,experiment label used in final version of GMD article,experiment title,sub_experiment (title),parent_ experiment_id,parent_sub_ experiment_id,parent_activity_id,Questions/Comments/Notes,number of char.,
Land-hist land conditions; AMIP SSTs,,LS3MIP,1,5,1980,2100,121,2,amip-lfmip-pObs,amip,lfmip,pObs,none,AGCM,AER CHEM,LFMIP-Pobs+SST,prescribed land (from pseudo-observations) and AMIP SSTs,none,,,,,15,
Prescribed land conditions 1980-2014 climate; AMIP SSTs,LfmipCa5,LS3MIP,1,5,1980,2100,121,2,amip-lfmip-pdLC,amip,lfmip,pdLC,none,AGCM,AER CHEM,LFMIP-pdLC+SST,prescribed land (from current climatology) and AMIP SSTs,none,,,,,15,
Prescribed land conditions 1980-2014 climate,LfmipCao1,LS3MIP,1,1,1980,2100,121,1,lfmip-pdLC,lfmip,pdLC,,none,AOGCM,AER CHEM BGM,lfmip-pdLC,"prescribed land conditions (from current climate climatology) and initialized from ""historical"" run year 1980",none,historical,none,CMIP,,10,
Prescribed land conditions 1980-2014 climate,LfmipCao4,LS3MIP,1,4,1980,2100,121,2,,,,,,,,lfmip-pdLC2,"prescribed land conditions (from current climate climatology) and initialized from ""historical"" run year 1980",,,,,"This is just an increase in size of ensemble, so doesn't need a different experiment name.",,
Initialized pseudo-observations land,LfmipHp10,LS3MIP,1,10,1980,2014,35,2,lfmip-initLC,lfmip,initLC,,none,AOGCM,AER CHEM BGM,LFMIP-Pobs,"initialized from ""historical"" run year 1980, but with land conditions initialized from pseudo-observations",none,historical,none,CMIP,Check parent.  ,12,
Prescribed land conditions 30yr running mean; AMIP SSTs,LfmipRa5,LS3MIP,1,5,1980,2100,121,2,amip-lfmip-rmLC,amip,lfmip,rmLC,none,AGCM,AER CHEM,LFMIP-rmLC+SST,prescribed land conditions (from running mean climatology) and AMIP SSTs,none,,,,which simulation are the land conditions taken from? Probably from non-running-mean historical and scenario runs?,15,
Prescribed land conditions 30yr running mean,LfmipRao1,LS3MIP,1,1,1980,2100,121,1,lfmip-rmLC,lfmip,rmLC,,none,AOGCM,AER CHEM BGM,lfmip-rmLC,"prescribed land conditions (from running mean climatology) and initialized from ""historical"" run year 1980",none,historical,none,CMIP,which simulation are the land conditions taken from? Probably from non-running-mean historical and scenario runs?,10,
Prescribed land conditions 30yr running mean,LfmipRao4,LS3MIP,1,4,1980,2100,121,2,,,,,,,,lfmip-rmLC2,"prescribed land conditions (from running mean climatology) and initialized from ""historical"" run year 1980",,,,,"This is just an increase in size of ensemble, so doesn't need a different experiment name.",,
Land only simulations,LmipF,LS3MIP,1,3,2015,2100,86,2,land-future,land,future,,none,LND,,land-future,future land-only,none,,,,,11,
Land only simulations,LmipH,LS3MIP LUMIP,1,1,1850 or 1700,2014,165,1,land-hist,land,hist,,none,LND,,land-hist,historical land-only,none,,,,This is also called for by LUMIP.,9,
Land only simulations,LmipH (1c),LS3MIP,1,1,1850,2014,165,2,land-hist-princeton,land,hist,princeton,none,LND,,land-hist-princeton,as land-hist with Princeton forcings,none,,,,Check parent.,19,
Land only simulations,LmipH (1c),LS3MIP,1,1,1850,2014,165,2,land-hist-cruNcep,land,hist,cruNcep,none,LND,,land-hist-cruNcep,as land-hist with CRU-NCEP forcings,none,,,,Check parent.,17,
Land only simulations,LmipH (1c),LS3MIP,1,1,1850,2014,165,2,land-hist-wfdei,land,hist,wfdei,none,LND,,land-hist-wfdei,as land-hist with WFDEI forcings,none,,,,Check parent.,15,
"Additional land use policy sensitivity simulation for high radiative forcing scenario, keep all forcings the same as in C4MIP esmssp5-8.5 scenario except use SSP1-2.6 land use; emission driven",Esmssp585wssp126landuse,LUMIP,1,1,2015,2100,86,1,esm-ssp585-ssp126Lu,esm,ssp585,ssp126Lu,none,ESM,AER CHEM,esm-ssp585-ssp126Lu,emissions-driven SSP5-8.5 with SSP1-2.6 land use,none,esm-hist,none,CMIP,,19,
"Same as CMIP6 historical but with land cover held at 1850, no human activity; concentration driven",HistNolulcc01,LUMIP,1,1,1850,2014,165,1,hist-noLu,hist,noLu,,none,AOGCM,AER CHEM BGM,hist-noLu,historical with no land-use change,none,piControl,none,CMIP,,9,
"Idealized deforestation experiment, 20 million km2 forest removed linearly over a period of 50 years, with an additional 30 years with no specified change in forest cover; all other forcings held constant",IdealizedGlobalDeforest,LUMIP,1,1,1850,1920,71,1,deforest-globe,deforest,globe,,none,AOGCM,AER CHEM BGM,deforest-globe,idealized transient global deforestation,none,piControl,none,CMIP,,14,
Same as land-hist except starting from either 1700 (for models that typically start in 1850) or 1850 (for models that typically start in 1700). ,,LUMIP,1,,1850 or 1700,2014,165,1,land-hist-altStartYear,land,hist,altStartYear,none,LND,,land-hist-altStartYear,historical land-only alternate start year,none,,,,,22,
"Same land model configuration as used in CMIP6 coupled experiments with all applicable land-use features active. Start year either 1850 or 1700 depending on standard practice for particular model. All forcings transient including CO2, N-dep, aerosol dep, etc.  ",,LS3MIP LUMIP,1,,1850 or 1700,2014,165,1,,,,,,,,land-hist,historical land-only,,,,,This experiment is also called for by LS3MIP,,
Same as land-hist except with CO2 held constant ,,LUMIP,1,,1850 or 1700,2014,165,2,land-cCO2,land,cCO2,,none,LND,,land-cCO2,historical land-only constant CO2,none,,,,,9,
Same as land-hist except with CO2 held constant ,,LUMIP,1,,1850 or 1700,2014,165,2,land-cClim,land,cClim,,none,LND,,land-cClim,historical land-only constant climate,none,,,,,10,
Same as land-hist except no land-use change,,LUMIP,1,,1850 or 1700,2014,165,1,land-noLu,land,noLu,,none,LND,,land-noLu,historical land-only with no land-use change,none,,,,,9,
Same as land-hist except with crop area utilizing prognostic crop model,,LUMIP,1,,1850 or 1700,2014,165,2,land-crop-noManage,land,crop,noManage,none,LND,,land-crop-noManage,historical land-only with crops but no crop management,none,,,,,18,
"Same as land-hist except with net LUC transitions instead of gross LUC transitions. If gross transitions exceeding net transitions have been applied in 1850, they should be maintained.",,LUMIP,1,,1850 or 1700,2014,165,2,land-netTrans,land,netTrans,,none,LND,,land-netTrans,historical land-only with net land-use transitions,none,,,,,13,
Same as land-hist but with anthropogenic ignition and suppression held to 1850 levels,,LUMIP,1,,1850 or 1700,2014,165,2,land-noFire,land,noFire,,none,LND,,land-noFire,historical land-only with no human fire management,none,,,,,11,
Same as land-hist but with wood harvest maintained at 1850 amounts/areas,,LUMIP,1,,1850 or 1700,2014,165,2,land-noWoodHarv,land,noWoodHarv,,none,LND,,land-noWoodHarv,historical land-only with no wood harvest,none,,,,,15,
"Same as land-hist but with grazing and other management on pastureland held at 1850 levels/distribution, i.e. all new pastureland is treated as unmanaged grassland (as in land-crop-grass).",,LUMIP,1,,1850 or 1700,2014,165,2,land-noPasture,land,noPasture,,none,LND,,land-noPasture,historical land-only with constant pastureland,none,,,,,14,
Same as land-hist but with all new crop and pastureland treated as unmanaged grassland ,,LUMIP,1,,1850 or 1700,2014,165,2,land-crop-grass,land,crop,grass,none,LND,,land-crop-grass,historical land-only with cropland as natural grassland,none,,,,,15,
Same as land-hist but with irrigated area held at 1850 levels,,LUMIP,1,,1850 or 1700,2014,165,2,land-crop-noIrrig,land,crop,noIrrig,none,LND,,land-crop-noIrrig,historical land-only with no irrigation ,none,,,,,17,
Same as land-hist but with fertilization rates and area held at 1850 levels/distribution,,LUMIP,1,,1850 or 1700,2014,165,2,land-crop-noFert,land,crop,noFert,none,LND,,land-crop-noFert,historical land-only with no fertilizer,none,,,,,16,
"Additional land use policy sensitivity simulation for low radiative forcing scenario, keep all forcings the same as ScenarioMIP SSP1-2.6 (afforestation scenario), but replace land use from SSP3-7 (afforestation) scenario; concentration-driven",Ssp126wssp37landuse,LUMIP,1,1,2015,2100,86,1,ssp126-ssp370Lu,ssp126,ssp370Lu,,none,AOGCM,AER CHEM BGM,ssp126-ssp370Lu,SSP1-2.6 with SSP3-7.0 land use,none,historical,none,CMIP,,15,
"Additional land use policy sensitivity simulation for high radiative forcing scenario, keep all forcings the same as ScenarioMIP SSP3-7 (deforestation scenario), but replace land use from SSP1-2.6 (afforestation) scenario; concentration-driven",Ssp37wssp126landuse,LUMIP,1,1,2015,2100,86,1,ssp370-ssp126Lu,ssp370,ssp126Lu,,none,AOGCM,AER CHEM BGM,ssp370-ssp126Lu,SSP3-7.0 with SSP1-2.6 land use,none,historical,none,CMIP,,15,
"Global ocean - sea-ice coupled experiment forced with the Coordinated Ocean - ice Reference Experiments inter-annually varying atmospheric and river data sets for years 1948-2009. Initial ocean tracer fields are based on observations. All Priority=1 OMIP diagnostics are requested for all five cycles of the 62-year forcing to quantify drift. All OMIP diagnostics (Priority=1,2,3) are requested for the 5th cycle.",OmipA,OMIP,1,1,1,310,310,1,omipv1,omipv1,,,none,OGCM,,omipv1,"OMIP experiment forced by Large & Yeager (CORE-2, NCEP) atmospheric data set and initialized with observed physical and biogeochemical ocean data",none,,,,,6,
Same as the omipv1 experiment except that it is not initialized with observed climatologies; rather it is initialized with results from at least a 2000-year spin up of the coupled physical-biogeochemical models. Also it includes radiocarbon to evaluate deep-ocean circulation.,OmipB,OMIP,1,1,1,310,310,2,omipv1-spunup,omipv1,spunup,,none,OGCM,,omipv1-spunup,"OMIP experiment forced by Large & Yeager (CORE-2, NCEP) atmospheric data set and initialized from at least a 2000-year spin up of the coupled physical-biogeochemical model",none,,,,,13,
"Global ocean - sea-ice coupled experiment forced with the JRA-55 inter-annually varying atmospheric and river data sets for years 1958-2016. Initial ocean tracer fields are based on observations.  All Priority=1 OMIP diagnostics are requested for all five cycles of the 59-year forcing to quantify drift.  All OMIP diagnostics (Priority=1,2,3) are requested for the 5th cycle. ",OmipA,OMIP,1,1,1,310,310,3,omipv2,omipv2,,,none,OGCM,,omipv2,OMIP experiment forced by JRA-55 atmospheric data set and initialized with observed physical and biogeochemical ocean data,none,,,,,6,
Same as the omipv2 experiment except that it is not initialized with observed climatologies; rather it is initialized with results from at least a 2000-year spin up of the coupled physical-biogeochemical models. Also it includes radiocarbon to evaluate deep-ocean circulation.,OmipB,OMIP,1,1,1,310,310,3,omipv2-spunup,omipv2,spunup,,none,OGCM,,omipv2-spunup,OMIP experiment forced by JRA-55 atmospheric data set and initialized from at least a 2000-year spin up of the coupled physical-biogeochemical model,none,,,,,13,
"main forcings : ice-sheet; trace gases, orbital parameters dust (forcing, or feedback if dust cycle represented in model)",lgm,PMIP,1,1,,,100,1,lgm,lgm,,,none,AOGCM,AER CHEM BGM,lgm,last glacial maximum ,none,,,,,3,
"main forcings : orbital parameters, ice-sheet, trace gases",LIG,PMIP,1,1,,,100,1,lig127k,lig127k,,,none,AOGCM,AER CHEM BGM,lig127k,last interglacial (127k),none,,,,,7,
"main forcings : trace gases, orbital parameters, dust",midHolocene,PMIP,1,1,,,200,1,midHolocene,midHolocene,,,none,AOGCM,AER CHEM BGM,midHolocene,mid-Holocene,none,,,,,11,
"main forcings : trace gases, volcanoes, solar variability, land use",past1000,PMIP,1,1,850,1849,1000,1,past1000,past1000,,,none,AOGCM,AER CHEM BGM,past1000,last millenium,none,piControl,none,CMIP,,8,
"main forcings : trace gases, orography, ice-sheet",PlioExp,PMIP,1,1,,,100,1,midPliocene-eoi400,midPliocene,eoi400,,none,AOGCM,AER CHEM BGM,midPliocene-eoi400,mid-Pliocene warm period,none,,,,,18,
30-year atmosphere only integration using preindustrial sea-surface temperature and sea-ice climatology. Interactive vegetation,RFMIP-ERF-PI-Cntrl,RFMIP AerChemMIP,1,1,,,30,1,piClim-control,piClim,control,,none,AGCM,AER CHEM,piClim-control,effective radiative forcing in present-day ,none,,,,AerChemMIP also calls for this experiment.,14,
As in RFMIP-ERF-PI-Cntrl but with 4xCO2,RFMIP-ERF-4xCO2,RFMIP,1,1,,,30,1,piClim-4xCO2,piClim,4xCO2,,none,AGCM,AER CHEM,piClim-4xCO2,effective radiative forcing by 4xCO2 ,none,,,,,12,
As in RFMIP-ERF-PI-Cntrl but with with present-day aerosols and ozone,RFMIP-ERF-AerO3,RFMIP,1,1,,,30,1,piClim-aerO3,piClim,aerO3,,none,AGCM,AER CHEM,piClim-aerO3,effective radiative forcing by present-day aerosols and ozone,none,,,,,12,
As in RFMIP-ERF-AER but with present-day changes scaled by 0.1,RFMIP-ERF-AerO3x01,RFMIP,1,1,,,30,2,piClim-aerO3x0p1,piClim,aerO3x0p1,,none,AGCM,AER CHEM,piClim-aerO3x0p1,effective radiative forcing by present-day aerosols and ozone scaled by 0.1 ,none,,,,,16,
As in RFMIP-ERF-AER but with present-day changes scaled by 2,RFMIP-ERF-AerO3x2,RFMIP,1,1,,,30,2,piClim-aerO3x2,piClim,aerO3x2,,none,AGCM,AER CHEM,piClim-aerO3x2,effective radiative forcing by present-day aerosols and ozone scaled by 2,none,,,,,14,
"As in RFMIP-ERF-PI-Cntrl but with present-day anthropogenic forcing (greenhouse gases, aerosols and land-use)",RFMIP-ERF-Anthro,RFMIP,1,1,,,30,1,piClim-anthro,piClim,anthro,,none,AGCM,AER CHEM,piClim-anthro,effective radiative forcing by present day anthropogenic agents,none,,,,,13,
As in RFMIP-ERF-PI-Cntrl but with present-day greenhouse gases,RFMIP-ERF-GHG,RFMIP,1,1,,,30,1,piClim-GHG,piClim,GHG,,none,AGCM,AER CHEM,piClim-GHG,effective radiative forcing by present-day greenhouse gases,none,,,,,10,
Time-varying forcing by aerosols. SST and sea ice fixed at preindustrial control. Interactive vegetation,RFMIP-ERF-HistAer,RFMIP,1,3,1850,2100,251,2,piClim-histaer03,piClim,histaer03,,none,AGCM,AER CHEM,piClim-histaer03,transient effective radiative forcing by aerosols ,none,,,,,16,
Time-varying forcing. SST and sea ice fixed at preindustrial control. Interactive vegetation,RFMIP-ERF-HistAll,RFMIP,1,3,1850,2100,251,2,piClim-histAll,piClim,histAll,,none,AGCM,AER CHEM,piClim-histAll,transient effective radiative forcing,none,,,,,14,
Time-varying forcing by GHGs. SST and sea ice fixed at preindustrial control. Interactive vegetation,RFMIP-ERF-HistGHG,RFMIP,1,3,1850,2100,251,2,piClim-histGHG,piClim,histGHG,,none,AGCM,AER CHEM,piClim-histGHG,transient effective radiative forcing by greenhouse gases,none,,,,,14,
"Time-varying forcing from volcanos, solar variability, etc. SST and sea ice fixed at preindustrial control. Interactive vegetation",RFMIP-ERF-HistNat,RFMIP,1,3,1850,2100,251,2,piClim-histNat,piClim,histNat,,none,AGCM,AER CHEM,piClim-histNat,transient effective radiative forcing by natural perturbations,none,,,,,14,
As in RFMIP-ERF-PI-Cntrl but with present-day land use,RFMIP-ERF-LU,RFMIP,1,1,,,30,1,piClim-lu,piClim,lu,,none,AGCM,AER CHEM,piClim-lu,effective radiative forcing by present-day land use ,none,,,,,9,
Prescribed anthropogenic aerosol optical properties. Aerosol and ozone forcings.,RFMIP-spAer-piSST-histall,RFMIP,1,,1850,2014,165,2,piClim-spAerO3-histall,piClim,spAerO3,histall,none,AGCM,,piClim-spAerO3-histall," transient effective radiative forcing with specified anthropogenic aerosol optical properties, all forcings",none,,,,,22,
Prescribed anthropogenic aerosol optical properties. Aerosol and ozone forcings.,RFMIP-spAer-piSST-histaer,RFMIP,1,,1850,2014,165,2,piClim-spAerO3-histaer,piClim,spAerO3,histaer,none,AGCM,,piClim-spAerO3-histaer,"transient effective radiative forcing with specified anthropogenic aerosol optical properties, aerosol forcing",none,,,,,22,
Prescribed anthropogenic aerosol optical properties. Aerosol and ozone forcings.,RFMIP-spAer-piSST-aer,RFMIP,1,,,,,2,piClim-spAerO3-aer,piClim,spAerO3,aer,none,AGCM,,piClim-spAerO3-aer,"effective radiative forcing at present day with specified anthropogenic aerosol optical properties, all forcings",none,,,,,18,
Prescribed anthropogenic aerosol optical properties. Anthropogenic forcings.,RFMIP-spAer-piSST-anthro,RFMIP,1,,,,,2,piClim-spAerO3-anthro,piClim,spAerO3,anthro,none,AGCM,,piClim-spAerO3-anthro,"effective radiative forcing at present day with specified anthropogenic aerosol optical properties, anthropogenic forcings",none,,,,,21,
Prescribed anthropogenic aerosol optical properties. Changes in aerosols only.,RFMIP-SpAer-aer,RFMIP,1,3,1850,2014,165,2,hist-spAerO3,hist,spAerO3,,none,AOGCM,,hist-spAerO3,"historical simulations with specified anthropogenc aerosols, no other forcings",none,piControl,none,CMIP,,12,
Prescribed anthropogenic aerosol optical properties. All forcings.,RFMIP-SpAer-all,RFMIP,1,3,1850,2014,165,1,hist-all-spAerO3,hist,all,spAerO3,none,AOGCM,,hist-all-spAerO3,historical simulations with specified anthropogenc aerosols ,none,piControl,none,CMIP,,16,
Request for specialized diagnostics: Full snapshots of spectrally-resolved aerosol optical properties for single day from piControl  along with model-specific direct aerosol IRF.,,RFMIP,1,,,,,1,,,,,,,,piControl,pre-industrial control,,,,,Special output requested.,,
"Request for specialized diagnostics: Full snapshots of spectrally-resolved aerosol optical properties for single day from historical run, along with model-specific direct aerosol IRF.",RfmipIrfAer,RFMIP,1,,,,,1,,,,,,,,historical,all-forcing simulation of the recent past,,,,,Special output requested.,,
Offline radiation calculations,RFMIP-IRF,RFMIP,1,,,,,1,rad-irf,rad,irf,,none,RAD,,RFMIP-IRF,offline assessment of radiative transfer parmaeterizations in clear skies,none,,,,,7,
Future scenario with low radiative forcing by the end of century. Following approximately RCP2.6 global forcing pathway but with new forcing based on SSP1. Concentration-driven.,SSP126,ScenarioMIP,1,1,2015,2100,86,1,ssp126,,,,none,AOGCM,AER CHEM BGM,ssp126,update of RCP2.6 based on SSP1,none,historical,none,CMIP,,6,
"Extension of SSP1_26 to 2300, in style of CMIP5 extension. Extends negative emissions level reached in 2100 to produce slowly declining forcing.",SSP126ext,ScenarioMIP,1,1,2101,2300,200,2,,,,,,,,ssp126,long-term extension of ssp126 to 2300,,,,,"an extension of ssp126, so doesn't need a separate experiment_id",,
Extension of SSP5_34over to 2300,SSP534overext,ScenarioMIP,1,,2101,2300,200,2,,,,,,,,ssp534over,long-term extension of ssp534over to 2300,,,,,"an extension of ssp534-over, so doesn't need a separate experiment_id",,
21st century overshoot scenario relative to SSP5_34. Branches from SS5_85 at 2040 with emissions reduced to zero by 2070 and negative thereafter.,SSP534over,ScenarioMIP,1,1,2015,2100,86,2,ssp534-over,ssp534,over,,none,AOGCM,AER CHEM BGM,ssp534-over,overshoot of 3.4 W/m**2 branching from ssp585 in 2040,none,ssp585,none,ScenarioMIP,,11,
Future scenario with medium radiative forcing by the end of century. Following approximately RCP6.0 global forcing pathway but with new forcing based on SSP4. Concentration-driven.,SSP460,ScenarioMIP,1,1,2015,2100,86,2,ssp460,ssp460,,,none,AOGCM,AER CHEM BGM,ssp460,update of RCP6.0 based on SSP4,none,historical,none,CMIP,,6,
Future scenario with medium radiative forcing by the end of century. Following approximately RCP4.5 global forcing pathway but with new forcing based on SSP2. Concentration-driven.,SSP245,ScenarioMIP,1,1,2015,2100,86,1,ssp245,ssp245,,,none,AOGCM,AER CHEM BGM,ssp245,update of RCP4.5 based on SSP2,none,historical,none,CMIP,,6,
"Future scenario with high radiative forcing by the end of century. Reaches about 7.0 W/m2 by 2100; fills gap in RCP forcing pathways between 6.0 and 8.5 W/m2. Concentration-driven. At least 9 further perturbed IC ensemble members (if not 9, as many as possible).",SSP370ens,ScenarioMIP,1,9,2015,2100,86,2,,,,,,,,ssp370,IC ensemble of ssp370,,,,,"an esemble of ssp370, so doesn't need a separate experiment_id",,
Future scenario with high radiative forcing by the end of century. Reaches about 7.0 W/m2 by 2100; fills gap in RCP forcing pathways between 6.0 and 8.5 W/m2. Concentration-driven.,SSP370,ScenarioMIP,1,1,2015,2100,86,1,ssp370,ssp370,,,none,AOGCM,AER CHEM BGM,ssp370,gap-filling scenario reaching 7.0 based on SSP3,none,historical,none,CMIP,,6,
Future scenario with low radiative forcing by the end of century. Reaches about 3.4 W/m2 by 2100; fills gap in RCP forcing pathways between 4.5 and 2.6 W/m2. Concentration-driven.,SSP434,ScenarioMIP,1,1,2015,2100,86,2,ssp434,ssp434,,,none,AOGCM,AER CHEM BGM,ssp434,gap-filling scenario reaching 3.4 based on SSP4,none,historical,none,CMIP,,6,
Future scenario with high radiative forcing by the end of century. Following approximately RCP8.5 global forcing pathway but with new forcing based on SSP5. Concentration-driven.,SSP585,ScenarioMIP,1,1,2015,2100,86,1,ssp585,ssp585,,,none,AOGCM,AER CHEM BGM,ssp585,update of RCP8.5 based on SSP5,none,historical,none,CMIP,,6,
"Extension of SSP5_85 to 2300, in style of CMIP5 extension. Assumes emissions eventually decline from 2100 levels to produce stabilized forcing by 2300.",SSP585ext,ScenarioMIP,1,1,2101,2300,200,2,,,,,,,,ssp585,long-term extension of ssp585 to 2300,,,,,"an extension of ssp534, so doesn't need a separate experiment_id",,
Future scenario with low radiative forcing by the end of century. Following a forcing pathway below RCP2.6. Specific SSP and 2100 forcing level to be finalized with IAM groups within next few months. Concentration-driven.,SSPXY,ScenarioMIP,1,1,2015,2100,86,2,sspxy,sspxy,,,none,AOGCM,AER CHEM BGM,sspxy,low-end scenario informing 1.5C goal,none,historical,none,CMIP,"""x"" AND ""y"" have yet to be determined PRECISELY",5,
"Early 19th century cluster of strong tropical volcanic eruptions, including the 1809 event of unknown location, the 1815 Tambora and 1835 Cosigueina eruptions. Experiment initialized from PiControl",VolLongC19thC,VolMIP,1,3,,,50,2,volc-cluster-ctrl,volc,cluster,ctrl,none,AOGCM,AER CHEM BGM,volc-cluster-ctrl,19th century volcanic cluster initialized from PiControl,none,piControl,none,CMIP,,17,
"Early 19th century cluster of strong tropical volcanic eruptions, including the 1809 event of unknown location, the 1815 Tambora and 1835 Cosigueina eruptions. Experiment initialized from past1000 (all forcings except volcanic kept constant from year AD 1790 on).",,VolMIP,1,3,,,50,3,volc-cluster-mill,volc,cluster,mill,none,AOGCM,AER CHEM BGM,volc-cluster-mill,19th century volcanic cluster initialized from past1000,none,past1000,none,PMIP,NOTE: This experiment was not included in the originally submitted proposal (but it is included in the GMDD paper),17,
"Idealized equatorial eruption corresponding to an initial emission of 56.2 Tg of SO2. The eruption magnitude corresponds to recent estimates for the 1815 Tambora eruption (Sigl et al., 2015), the largest historical tropical eruption, which was linked to the so-called “year without a summer” in 1816. Experiment initialized from PiControl.",VolLongS100EQ,VolMIP,1,9,,,20,1,volc-long-eq,volc,long,eq,none,AOGCM,AER CHEM BGM,volc-long-eq,idealized equatorial volcanic eruption emitting 56.2 Tg SO2 ,none,piControl,none,CMIP,,12,
Idealized Northern Hemisphere high-latitude eruption emitting 28.1 Tg of SO2. Experiment initialized from PiControl. ,VolLongS100HL,VolMIP,1,9,,,20,2,volc-long-hlN,volc,long,hlN,none,AOGCM,AER CHEM BGM,volc-long-hlN,idealized Northern Hemisphere high-latitude eruption emitting 28.1 Tg of SO2,none,piControl,none,CMIP,,13,
"1991 Pinatubo forcing as used in the CMIP6 historical simulations. Requires special diagnostics of parameterized and resolved wave forcings, radiative and latent heating rates. A large number of ensemble members is required to address internal atmospheric variability. Experiment initialized from PiControl.",VolShort20EQfull,VolMIP,1,25,,,3,1,volc-pinatubo-full,volc,pinatubo,full,none,AOGCM,AER CHEM BGM,volc-pinatubo-full,Pinatubo experiment,none,piControl,none,CMIP,,18,
"As volc-pinatubo-full, but as decadal prediction runs. Joint experiment with DCPP, forcing input and implementation of the forcing fully comply with the VolMIP protocol.",Volshort20eqiniDcppC21,VolMIP,1,10,2014,2019,5,3,volc-pinatubo-ini,volc,pinatubo,ini,s2014,AOGCM,AER CHEM BGM,volc-pinatubo-ini,Pinatubo experiment for decadal climate prediction,initialized near end of year 2014,,,,please confirm this information is correct.,17,
slab control run for volc-piinatubo-slab,,VolMIP,1,1,,,30,1,control-slab,control,slab,,none,AGCM SLAB,AER CHEM BGM,control-slab,control with slab ocean,none,,,,,12,
"As volc-pinatubo-full, but with a slab ocean.",VolShort20EQslab,VolMIP,1,1,,,3,3,volc-pinatubo-slab,volc,pinatubo,slab,none,AGCM SLAB,AER CHEM BGM,volc-pinatubo-slab,Pinatubo experiment with slab ocean,none,control-slab,none,VolMIP,,18,
"As volc-pinatubo-full, but with prescribed aerosol heating rates in the stratosphere. Complimentary experiment to volc-pinatubo-surf.",VolShort20EQstrat,VolMIP,1,25,,,3,1,volc-pinatubo-strat,volc,pinatubo,strat,none,AOGCM,AER CHEM BGM,volc-pinatubo-strat,"Pinatubo experiment with partial radiative forcing, includes only stratospheric warming",none,piControl,none,CMIP,,19,
"As volc-pinatubo-full, but with prescribed surface cooling patterns or net  surface flux changes. Complimentary experiment to volc-pinatubo-strat.",VolShort20EQsurf,VolMIP,1,25,,,3,1,volc-pinatubo-surf,volc,pinatubo,surf,none,AOGCM,AER CHEM BGM,volc-pinatubo-surf,"Pinatubo experiment with partial radiative forcing, solar radiation scattering only",none,piControl,none,CMIP,,18,
"Parallel experiment to volc-cluster-ctrl, using restart files from the end of the historical simulation instead of from piControl, and boundary conditions from the 21st century SSP2-4.5 scenario experiment of ScenarioMIP",,VolMIP,1,3,2015,2100,85,3,volc-cluster-21C,volc,cluster,21C,none,AOGCM,AER CHEM BGM,volc-cluster-21C,volcanic cluster experiment under 21st century SSP2-4.5 scenario,none,historical,none,CMIP,,16,
Idealized Northern Hemisphere high-latitude eruption emitting 28.1 Tg of SO2. Experiment initialized from PiControl. ,,VolMIP,1,9,,,20,3,volc-long-hlS,volc,long,hlS,none,AOGCM,AER CHEM BGM,volc-long-hlS,Idealized Southern Hemisphere high-latitude eruption emitting 28.1 Tg of SO2,none,piControl,none,CMIP,,13,
